"ETHNOLOGUE 16 ed                         "						
"Language Name"	"iso"	"Classification"	"No. of Speakers"	"Latitude"	"Longitude"	"Misc."
"Hadza"	"hts"	4	800	-3.75	35.17	"         KHOISAN (Had)"
"Sandawe"	"sad"	13	40000	-5	35	"  3      (Sa)"
"Hai//om"	"hgm"	12	48400	-20	18	"         (C SA)"
"Kwadi"	"kwz"	31	-1976	-16.27	12.3	
"Korana"	"kqz"	31	-2000	-29.5	20.5	
"Nama"	"naq"	41	251100	-25.5	18	3
"Xiri"	"xii"	41	187			
"Shua"	"shg"	31	6000	-20.5	24.5	
"Tsoa"	"hio"	41	6540			
"Kua"	"tyu"	51	817			
"//gana"	"gnk"	41	2000	-22.17	23.33	
"//ani"	"hnh"	51	1000	-18.92	21.92	
"Khwe"	"xuu"	51	7990	-17.5	22.5	
"/gwi"	"gwj"	41	2500	-22.67	21.75	
"Naro"	"nhr"	51	14000	-22.33	20.5	
"/kxau//ein"	"Aue"	22	7000			
"Ju/hoan"	"ktz"	3	33600	-19	21	
"Kung-Ekoka"	"knw"	31	6899	-19.67	18	
"Maligo"	"mwj"	31	2233			
"!o!ung"	"oun"	31	5629	-17	18.75	
"Vasekela B"	"vaj"	31	61300			
"Seroa"	"kqu"	22	-1			"         (S)"
"N/u"	"ngh"	41	12	-26	21	
"/xam"	"xam"	41	-1	-31	21	
"//xegwi"	"xeg"	41	-1988			
"/hua"	"huc"	31	200	-23.83	24.25	
"!xoo"	"nmn"	41	4200	-24	21.5	2
"Jeri Kuo"	"jek"	3	1500	9.5	-5.67	"         NIGER-CONGO (MANDE)"
"Jalkunan"	"bxl"	71	500	10.5	-5.25	
"Ligbi"	"lig"	71	19000	7.92	-2.42	
"Tonjon"	"tjn"	81	-1			
"Bolon"	"bof"	61	17000	11.83	-4.83	
"Jahanka"	"jad"	9	13100	11.67	-13.33	
"Marka"	"rkm"	9	225000	13.25	-4.08	3
"Bamanankan"	"bam"	10	2772340	12.5	-7.5	
"Jula"	"dyu"	11	1229000	9.83	-4.67	
"Wojenaka"	"jod"	10	120000	9.5	-7.5	
"Worodougou"	"jud"	12	80000	8.33	-6.83	
"Koro"	"kfo"	12	40000	8.5	-5.83	
"Koyaga"	"kga"	12	60000	8.5	-6.17	
"Mahou"	"mxx"	12	169000	8.33	-7.5	
"F Maninka"	"myq"	12	15000	9.59	-7.83	
"K"	"mku"	11	167200			
"S"	"msc"	11	77000			
"E Maninkakan"	"emk"	11	2031800	10.5	-9.5	
"Manya"	"mzj"	11	75400	8.33	-9.67	
"Xaasongaxang"	"kao"	9	103610	14.25	-10.5	
"Kagoro"	"xkg"	10	15000	13	-7	
"Mandinka"	"mnk"	10	1346000	13.42	-16	
"W Maninkakan"	"mlq"	10	525300	13	-11	
"K"	"mwk"	10	600000	13	-9.5	
"Sininkere"	"skq"	9	6000	13.72	-0.8	
"Kakabe"	"kke"	8	4100			
"Kuranko"	"knk"	9	323200	9.33	-11.25	
"Lele"	"llc"	9	23000	9.25	-10.5	
"Mixifore"	"mfg"	9	3600			
"Kono"	"kno"	7	205000	8.75	-11	
"Vai"	"vai"	8	119500	6.92	-11.25	3
"Susu"	"sus"	51	1060280	10	-13	
"Yalunka"	"yal"	6	104500	10	-11	
"G Kpelle"	"gkp"	41	308000	8	-9	
"L"	"xpe"	6	487400	7	-10	
"Kono"	"knu"	61	90000			
"Loma"	"lom"	51	165000	8	-9.5	
"Toma"	"tod"	7	143800	8.75	-9.83	
"Bandi"	"bza"	61	107000	8.08	-10.25	
